what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1354254487885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254489866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254496472
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354254499780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254501253
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254506315
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354254516500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254517120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254517486
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354254519934
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354254521283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254523057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254531229
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254548746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254555652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354254560600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254561232
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254567030
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1354254571648
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1354254575006
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1354254576305
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354254577385
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254578201
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254590811
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354254594671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354254596924
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254597359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254601855
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1354254602286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254604459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254612956
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1354254622046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254624550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254626183
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1354254828169
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354254835556
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1354254837721
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1354254843570
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1354254844531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1354254847104
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1354254847614
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1354254849658
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1354254850180
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1354254850626
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1354254851766
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1354254852242
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1354254855968
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1354254856290
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1354254856426
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1354254856789
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1354254856994
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1354254857229
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354254863069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254866014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254871077
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1354254871404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254872112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354254900985
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1354254911215
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354255010910
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1354255013329
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354255028174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1354255046639
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1354255052719
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1354255055611
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1354255056582
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1354255065599
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1354255065634
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1354255065652
